unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1613261160000,2021-02-14 00:06:00,ETH/USDT,1811.42,1813.15,1811.00,1811.03,1017.862,1844462.80420,695
1613261100000,2021-02-14 00:05:00,ETH/USDT,1812.83,1812.83,1810.00,1811.42,2423.142,4388280.12483,1529
1613261040000,2021-02-14 00:04:00,ETH/USDT,1815.37,1815.90,1810.19,1812.66,3523.067,6386925.91854,2459
1613260980000,2021-02-14 00:03:00,ETH/USDT,1817.88,1819.25,1815.10,1815.46,1412.351,2566766.34575,1368
1613260920000,2021-02-14 00:02:00,ETH/USDT,1821.56,1821.56,1817.12,1817.55,1362.743,2478604.22962,1305
1613260860000,2021-02-14 00:01:00,ETH/USDT,1819.20,1821.57,1818.80,1821.56,1090.208,1984314.03745,1019
1613260800000,2021-02-14 00:00:00,ETH/USDT,1817.86,1820.89,1817.00,1819.08,3110.943,5659427.88030,1881
1613260740000,2021-02-13 23:59:00,ETH/USDT,1816.65,1819.00,1815.01,1818.02,1179.009,2142936.38700,908
1613260680000,2021-02-13 23:58:00,ETH/USDT,1817.80,1818.05,1816.24,1816.65,267.265,485559.70443,554
